id,duration,title,channel,id,viewing,user-id,start,duration,start,duration
0D4f3Hjqvm8,1101,"12 Days of Role Plays: Day 4 - A Tooth Fairy Teeth Cleaning - ASMR - Soft Spoken, Close Binaural",ASMRrequests,UCX70sfic86MKcid2n0mmmqg,,719,0,1101,165,2
,,,,,,,,,372,40
,,,,,,,,,417,31
,,,,,,,,,453,3
,,,,,,,,,457,2
,,,,,,,,,463,40
,,,,,,,,,504,32
,,,,,,,,,537,5
,,,,,,,,,543,11
,,,,,,,,,555,6
,,,,,,,,,565,15
,,,,,,,,,585,12
,,,,,,,,,598,4
,,,,,,,,,636,5
0hN3Ds6vEmU,622,ASMR Tapping *Cardboard Cookie* (No Talking),Christen Noel ASMR,UCkvg7ur8e_HBZTRDv7-RfjA,,463,0,622,2,1
,,,,,,509,0,622,204,1
0T52Wn4EMSA,2224,☆ Медицинское обследование в АСМРмию ☆ / АСМР / Расслабляющая ролевая игра перед сном,Gentle Whispering ASMR,UC6gLlIAnzg7eJ8VuXDCZ_vg,,523,0,2224,212,4
,,,,,,,,,273,12
,,,,,,,,,301,4
,,,,,,,,,316,4
0yxJzCQW5zI,1031,Binaural Whispering: UNFILTERED SOUND,VioletsVoice,UCgKehDem85KeLSYcOzTJxew,,357,0,1031,40,2
,,,,,,,,,45,1
,,,,,,,,,51,1
,,,,,,,,,92,3
,,,,,,,,,164,1
,,,,,,,,,240,1
,,,,,,,,,256,1
,,,,,,,,,274,1
,,,,,,,,,286,1
,,,,,,,,,288,2
,,,,,,,,,299,2
,,,,,,,,,357,1
,,,,,,,,,361,1
,,,,,,,,,404,2
,,,,,,,,,419,4
,,,,,,,,,459,1
,,,,,,,,,578,1
,,,,,,,,,580,1
,,,,,,,,,678,1
,,,,,,,,,687,1
,,,,,,,,,699,2
,,,,,,,,,818,1
,,,,,,,,,831,1
,,,,,,,,,841,1
,,,,,,,,,850,1
,,,,,,,,,880,1
,,,,,,,,,912,1
,,,,,,,,,979,1
,,,,,,,,,982,1
,,,,,,,,,984,1
,,,,,,,,,1001,1
,,,,,,,,,1007,1
0Z-m-oEcAg0,1383,Face-Painting Wellness Massage *Whispered* Roleplay ASMR (brushing the camera),Mitzy Whispers,UCRQ3b2RBhISuUEKjnRKra-A,,510,0,1383,24,3
,,,,,,,,,51,3
,,,,,,,,,63,5
,,,,,,,,,71,5
,,,,,,,,,119,3
,,,,,,,,,132,1
,,,,,,,,,147,2
,,,,,,1359,0,0,,
10V8dm3LLeE,1617,ASMR | Texas Charm. ◊ A Southern Bed & Breakfast Role Play ◊,AccidentallyGraceful,UCgpmBgxeWvmAVge2TmmgMVA,,597,0,1617,38,1
,,,,,,,,,65,1
,,,,,,,,,94,1
,,,,,,,,,103,1
,,,,,,,,,108,1
,,,,,,,,,115,2
,,,,,,,,,129,2
,,,,,,,,,137,3
,,,,,,,,,147,1
,,,,,,,,,158,3
,,,,,,,,,164,2
,,,,,,,,,168,1
,,,,,,,,,183,2
,,,,,,,,,199,2
13m-nDhfDRE,1050,ASMR - Progressive Muscle Relaxation in Polish + Gentle Hand Movements + Whispering,SoftAnnaPL,UCKmaEQ67Tt0q54sOLSvVJNg,,237,0,1050,4,1
,,,,,,,,,21,1
,,,,,,,,,35,3
,,,,,,,,,52,2
,,,,,,,,,58,2
,,,,,,,,,61,3
,,,,,,,,,76,6
,,,,,,,,,114,3
,,,,,,,,,123,3
,,,,,,1359,0,8,,
,,,,,,,668,0,,
,,,,,,,17,1,,
,,,,,,,0,1050,,
,,,,,,1359,0,764,,
